ID,Épica,Historia,Criterios de aceptación,Responsable,Puntos,Sprint,MoSCoW,Dependencias
E1-01,E1 Catálogo,"Contrato v0.3: categorías, productos, presentaciones, precios, imágenes, disponibilidad",openapi.yaml revisado y mergeado por ambos,BE+FE,2,S1,Must,E0-05
E1-02,E1 Catálogo,"Backend: CRUD de categorías (árbol ≤3), productos, presentaciones y precios con historial","Migraciones cat_*; precio nunca se edita, se cierra y se crea; auditoría en cambios de precio; pruebas Feature",BE,8,S1,Must,E1-01
E1-03,E1 Catálogo,Backend: subida de imágenes con 3 tamaños WebP y alt obligatorio,Imagen se guarda en storage/ con miniaturas; validación de tipo y tamaño,BE,3,S1,Must,E1-02
E1-04,E1 Catálogo,"Backend: API pública de tienda (categorías, listado con filtros y orden, detalle por slug, búsqueda simple)",Respuestas < 300 ms p95 con 500 SKU; caché Redis invalidada por evento,BE,5,S1,Must,E1-02
E1-05,E1 Inventario,"Backend: existencias, movimientos inmutables, entradas y ajustes con motivo",inv_* migradas; disponible = existencia − reservado calculado; auditoría,BE,5,S1,Must,E1-02
E1-06,E1 Inventario,Backend: reservar/liberar/consumir con bloqueo de fila y prueba de concurrencia,"Prueba: 5 compras simultáneas de la última unidad → 1 éxito, 4 stock_insuficiente; orden fijo de SKU; sin deadlocks",BE,8,S1,Must,E1-05
E1-07,E1 Inventario,Backend: eventos StockReservado/ReservaLiberada/StockAgotado/StockReingresado + expiración de reservas (scheduler),Esquemas en contracts/events; reserva expira a los 30 min configurables; pruebas,BE,3,S1,Must,E1-06
E1-08,E1 Tienda,"Tienda: inicio, categoría con filtros, producto con selector de presentación, badge disponibilidad, SSR","LCP ≤ 2,5 s en Lighthouse CI; SEO: títulos, meta, breadcrumbs, schema.org Product",FE,13,S1,Must,"E1-01,E0-10"
E1-09,E1 Panel,"Panel: catálogo (productos, presentaciones, precios, imágenes, categorías)",Alta/edición completa; historial de precios visible; validaciones en línea,FE,8,S1,Must,E1-01
E1-10,E1 Panel,"Panel: inventario (existencias, entradas, ajustes, reservas activas)",Movimientos listados; ajuste exige motivo,FE,5,S1,Must,E1-01
E1-11,E1 Datos,"Seeders: taxonomía confirmada (05 §2), 20 SKU de ejemplo con imágenes, listas HOGAR/NEGOCIO",`migrate:fresh --seed` deja una tienda navegable,BE,2,S1,Must,E1-02
E2-01,E2 Pedidos,"Contrato v0.4: zonas/franjas/cupos, clientes, carrito, crear pedido, consulta pública, cancelar",Mergeado por ambos,BE+FE,2,S2,Must,E1-01
E2-02,E2 Zonas,"Backend: zona CDLR con polígono real, franjas lun–dom 7–21, cupos por fecha, tomar/devolver cupo atómico",ST_Contains resuelve zona; UPDATE condicional para cupo; prueba de cupo agotado,BE,5,S2,Must,E2-01
E2-03,E2 Clientes,"Backend: clientes por teléfono (invitado/registrado), direcciones con coordenadas y zona, consentimientos, verificación de correo opcional",Teléfono E.164 único; dirección sin zona no se guarda; pruebas,BE,5,S2,Must,E2-02
E2-04,E2 Pedidos,Backend: crear pedido todo-o-nada (reserva + cupo + pedido + PedidoCreado) con Idempotency-Key,Prueba: fallo en cupo revierte reserva; reintento con misma clave devuelve el mismo pedido; total y vuelto calculados en servidor; paga_con ≥ total,BE,8,S2,Must,"E2-02,E2-03,E1-07"
E2-05,E2 Pedidos,"Backend: máquina de estados con transiciones auditadas, cancelar (libera stock y cupo), consulta por número+teléfono con rate limit",ped_transiciones inmutable; TransicionInvalida → 409; pruebas de cada transición,BE,5,S2,Must,E2-04
E2-06,E2 Pedidos,Backend: numeración DT-000001 y copia de precios/dirección/franja en el pedido,Cambiar un precio después no altera pedidos existentes (prueba),BE,2,S2,Must,E2-04
E2-07,E2 Tienda,"Tienda: carrito con edición, total en puerta, aviso de agotado, sugerencias",Carrito persiste en sesión; deshacer eliminar,FE,5,S2,Must,E1-08
E2-08,E2 Tienda,"Tienda: checkout 3 pasos (datos por teléfono, entrega con mapa y franjas con cupo, pago con método y 'pago con')",Reconoce cliente por teléfono; pin fuera de zona guarda lead; efectivo exige monto ≥ total y muestra vuelto; errores stock/cupo llevan al paso correcto,FE,13,S2,Must,"E2-01,E2-07"
E2-09,E2 Tienda,Tienda: confirmación de pedido y 'Mi pedido' (número + teléfono) con línea de tiempo y cancelar,Textos de estado del 05 §3.8; cancelar solo antes de EnPreparacion,FE,5,S2,Must,E2-08
E2-10,E2 Panel,"Panel: lista de pedidos con filtros, ficha con historial, crear pedido manual (canal panel)",Búsqueda por número/teléfono/nombre; ficha muestra vuelto y método,FE,8,S2,Must,E2-01
E2-11,E2 Clientes,"Panel: ficha de cliente (pedidos, rechazos, direcciones)",Accesible desde el pedido,FE,3,S2,Should,E2-10
E3-01,E3 Riesgo,"Contrato v0.5: evaluación, aprobar/rechazar, reglas, interruptor global, lista de observación; preparación; rutas",Mergeado por ambos,BE+FE,2,S3,Must,E2-01
E3-02,E3 Riesgo,"Backend: consumidor de PedidoCreado que evalúa reglas configurables, decide auto/manual, emite PedidoConfirmado o PedidoEnRevision",Reglas y pesos desde rsk_reglas; interruptor confirmacion_manual_para_todos; pruebas por regla; idempotente,BE,8,S3,Must,"E2-05,E0-06"
E3-03,E3 Riesgo,"Backend: aprobar/rechazar manual, vencimiento a 2 h de horario operativo (scheduler), lista de observación alimentada por EntregaFallida",Vencido → Cancelado + liberación; auditoría; pruebas,BE,5,S3,Must,E3-02
E3-04,E3 Fulfillment,"Backend: órdenes de preparación (iniciar, terminar, faltante), consumo de reserva, nota de pedido imprimible (PDF/HTML)",Faltante bloquea el pedido y avisa; nota con datos del 05 §4.4,BE,5,S3,Must,E3-02
E3-05,E3 Fulfillment,"Backend: rutas y paradas (crear, agregar, ordenar, iniciar, reasignar, cerrar), vuelto por parada y por ruta, aviso capacidad >30",Un pedido en una sola ruta activa; PedidoEnRuta al iniciar; pruebas,BE,8,S3,Must,E3-04
E3-06,E3 Notificaciones,"Backend: plantillas editables y envíos por correo (PedidoCreado, Confirmado, EnRuta, Entregado, EntregaFallida, verificar correo); omitido si no hay correo",not_envios registra estado; Mailpit recibe en local; pruebas,BE,5,S3,Must,E3-02
E3-07,E3 Panel,"Panel: pantalla Hoy (pedidos por estado, cupo por franja, motorizados, avisos)",Datos reales; enlaces a listas filtradas (tiempo real llega en S5),FE,8,S3,Must,E3-01
E3-08,E3 Panel,"Panel: pedidos en revisión con señales, botones Confirmar/Rechazar, llamar, editar dirección/franja; interruptor global en configuración",Tiempo restante visible; motivo obligatorio al rechazar,FE,8,S3,Must,E3-01
E3-09,E3 Panel,"Panel: preparación (cola por franja, lista de recolección, faltante, imprimir nota)",Usable en tablet; casillas grandes,FE,8,S3,Must,E3-01
E3-10,E3 Panel,"Panel: rutas (pedidos listos, mapa con pines, crear ruta, ordenar, vuelto a llevar, iniciar, reasignar)",Sugerencia de orden por cercanía; aviso >30 no bloquea,FE,13,S3,Must,E3-01
E3-11,E3 Panel,"Panel: configuración de zona, franjas, cupos del día, reglas de riesgo y umbral",Cambios auditados y con efecto ≤ 60 s,FE,5,S3,Must,E3-01
E4-01,E4 Motorizado,"Contrato v0.6: ruta del día, resultado de parada con operation_id, declaración de caja, cierres, ajustes",Mergeado por ambos,BE+FE,2,S4,Must,E3-01
E4-02,E4 Fulfillment,"Backend: registrar resultado de parada idempotente por operation_id (entregado con método; fallida con motivo incl. 'no puede pagar'), reintento y devolución",PedidoEntregado/EntregaFallida por outbox; segundo fallo → Devuelto; reingreso al confirmar almacén; conflicto (pedido cancelado) → 409 transicion_invalida; pruebas,BE,8,S4,Must,E3-05
E4-03,E4 Cobranza,"Backend: cobro inmutable desde PedidoEntregado (monto = total), CobroRegistrado → Cobrado, ajustes con autorización",Consumidor idempotente; sin UPDATE en cob_cobros; pruebas,BE,5,S4,Must,E4-02
E4-04,E4 Cobranza,"Backend: cierre de caja por motorizado y día (esperado por método, declarado, diferencia, justificación), DiferenciaDeCajaDetectada, aviso de cierre pendiente (no bloquea)",Cierre con diferencia ≠ 0 exige justificación y aprobación admin; pruebas,BE,5,S4,Must,E4-03
E4-05,E4 Motorizado,"App: ruta del día (paradas, llamar, ir a mapas, efectivo a llevar) descargada a IndexedDB",Funciona con datos apagados tras cargar,FE,8,S4,Must,"E4-01,E0-08"
E4-06,E4 Motorizado,"App: parada — entregado y cobrado (método, vuelto fijo, n.º operación, foto opcional) / no se pudo entregar (motivos)",Botones ≥ 56 px; confirmación con vibración; monto no editable,FE,8,S4,Must,E4-05
E4-07,E4 Motorizado,"libs/offline-queue: cola de operaciones con operation_id, sincronizador con Idempotency-Key, estados guardado/enviado/confirmado, conflictos visibles",E2E: 10 operaciones sin señal → todas confirmadas al reconectar; conflicto mostrado; sin duplicados,FE,13,S4,Must,E4-05
E4-08,E4 Motorizado,App: cerrar ruta y declarar caja por método con diferencia previa,"Cierre con pendientes no bloquea, avisa",FE,5,S4,Must,E4-07
E4-09,E4 Panel,"Panel: caja (esperado vs declarado por método, diferencias, justificar, ajustes, historial, cierres pendientes arriba)",Diferencia en rojo; justificación obligatoria,FE,8,S4,Must,E4-01
E4-10,E4 Panel,Panel: inventario — recepción de devoluciones (reingreso al confirmar),Reingreso genera movimiento y emite StockReingresado,FE,3,S4,Must,E4-01
E5-01,E5 Tiempo real,"Backend: Reverb con canales catalogo.disponibilidad (público), panel.pedidos, panel.avisos, motorizado.{id} emitidos desde consumidores",Latencia ≤ 2 s medida en prueba de integración; canal público sin cantidades,BE,5,S5,Must,"E1-07,E3-05"
E5-02,E5 Tiempo real,libs/realtime: Echo con reconexión exponencial y respaldo por sondeo 30 s; badge en tienda; Hoy y listas del panel en vivo; ruta del motorizado en vivo,Cae el WS → sigue funcionando con sondeo,FE,8,S5,Must,E5-01
E5-03,E5 Avisos,"Backend: not_avisos_panel (revisión por vencer, cupo agotado, diferencia de caja, cierre pendiente, faltante, stock agotado) + 'Avísame cuando haya stock'",Avisos se crean desde consumidores; lista de interesados por SKU al reingresar,BE,5,S5,Must,E5-01
E5-04,E5 Avisos,Tienda: 'Avísame' en agotados; Panel: campana de avisos y lista de interesados,Aviso leído/resuelto,FE,5,S5,Should,E5-03
E5-05,E5 Calidad,"SEO técnico: sitemap desde BD, canónicos, noindex en filtros, schema.org Product/BreadcrumbList, 410 para retirados",Rich Results Test sin errores; Lighthouse SEO ≥ 95,FE+BE,5,S5,Must,E1-08
E5-06,E5 Calidad,"Rendimiento: presupuesto JS ≤ 200 KB inicial, imágenes AVIF/WebP, caché Redis y cabeceras; prueba de carga 60 pedidos/h y pico 5 simultáneos",Lighthouse CI verde; k6 sin errores; p95 checkout ≤ 500 ms,FE+BE,5,S5,Must,E2-04
E5-07,E5 Seguridad,"Endurecimiento ASVS L2: CSP con nonces, HSTS, rate limits, policies por objeto (motorizado solo sus rutas), pruebas de IDOR, `composer audit`/`npm audit` limpios",Checklist ASVS L2 completado y adjunto al PR; sin hallazgos altos,BE+FE,8,S5,Must,E4-02
E5-08,E5 Datos personales,"Anonimización programada (12/24 meses), exportar y eliminar datos por cliente (ARCO), política de privacidad y consentimiento versionado en tienda",Scheduler probado con datos sintéticos; endpoints ARCO con auth por teléfono+código,BE+FE,5,S5,Must,E2-03
E5-09,E5 Cuenta,"Tienda: cuenta opcional (crear con contraseña tras el pedido, pedidos anteriores, volver a pedir, direcciones)",Login cliente separado del personal,FE+BE,8,S5,Should,E2-09
E5-10,E5 Validación,"Pruebas con usuarios: 5 clientes (checkout), 3 motorizados en calle sin señal, 2 de almacén; ajustes",Informe de hallazgos y correcciones mergeadas,Dueño+FE,5,S5,Must,E4-08
E5-11,E5 Operación,"Runbooks: despliegue, rollback, restaurar backup, incidente de datos (48 h), cierre de caja con diferencia, caída de Reverb",En docs/runbooks; ensayo de restauración realizado,BE,3,S5,Must,E0-09
E5-12,E5 Operación,"Observabilidad: logs JSON con trace_id, métricas de negocio y técnicas, alertas (outbox >30 s, cola atascada, error >1 %, cierre >24 h, cupo agotado), uptime externo",Dashboard visible; alerta de prueba recibida,BE,5,S5,Must,E0-09
E6-01,E6 Lanzamiento,"Producción: VPS, dominio, TLS, MySQL con backups PITR, despliegue por promoción con rollback probado",Deploy a producción y rollback ejecutados; RTO medido ≤ 2 h,BE,5,S6,Must,E5-11
E6-02,E6 Lanzamiento,"Carga inicial: catálogo real (~500 SKU) por CSV, precios por lista, existencias iniciales, usuarios reales, zona y cupos",Importador CSV con validación; dueño valida en staging,BE+Dueño,5,S6,Must,E1-11
E6-03,E6 Lanzamiento,Registro del banco de datos ante la ANPD y publicación de política de privacidad y términos,Constancia de registro; textos publicados,Dueño,2,S6,Must,E5-08
E6-04,E6 Lanzamiento,"Capacitación: administrador (panel), almacén (preparación), motorizados (app), con guías de 1 página",Sesiones realizadas; guías en docs/,Dueño+FE,3,S6,Must,E5-10
E6-05,E6 Lanzamiento,"Piloto controlado: 3 días con pedidos reales limitados (interruptor manual activo), corrección de incidencias, go-live",Métricas del 01 §5 medidas en el piloto; decisión de apertura,Todos,5,S6,Must,"E6-01,E6-02,E6-04"
E6-06,E6 Lanzamiento,Retrospectiva del proyecto y backlog de fase 2,Documento con aprendizajes y lista priorizada,Todos,1,S6,Should,E6-05
E7-01,E7 Cumplimiento,"Política de privacidad y Términos y condiciones publicados, versionados y aceptados en checkout","Textos conforme a Ley 29733 y Ley 29571; aceptación registrada con versión; enlaces en pie, formularios y checkout",Dueño+FE,3,S5,Must,E2-08
E7-02,E7 Cumplimiento,Política de reembolsos y flujo de reposición/reembolso tras entrega,Reclamo ≤ 48 h; pedido tipo reposición sin cobro o AjusteDeCobro negativo con motivo reembolso; visible en cierre de caja; auditado,BE+FE,5,S5,Must,E4-04
E7-03,E7 Cumplimiento,Libro de Reclamaciones virtual,Formulario accesible desde todas las páginas; numeración correlativa; copia al consumidor por correo o descarga; aviso al administrador; recordatorio a los 20 días; tabla rec_reclamaciones,BE+FE,5,S5,Must,E3-06
E7-04,E7 Cumplimiento,Afirmaciones con respaldo y datos sanitarios en fichas,cat_productos.afirmaciones con fuente obligatoria; el panel bloquea publicar sin fuente; campo registro sanitario/notificación cuando aplique,BE+FE,3,S1,Must,E1-02
E7-05,E7 Cumplimiento,Datos del negocio configurables y visibles,"sys_configuracion negocio.*; pie de tienda, nota de pedido y correos muestran razón social, RUC, dirección, contacto, enlace a reclamaciones",BE+FE,2,S2,Must,E0-06
E7-06,E7 Cumplimiento,Origen y licencia de imágenes; guía de texto alternativo,cat_imagenes.origen y licencia_ref obligatorios; panel e importador exigen alt y origen,BE+FE,2,S1,Must,E1-03
E7-07,E7 Cumplimiento,Reseñas verificadas con moderación (fase 1.1),Solo clientes con pedido Cobrado del SKU; una por pedido; moderación previa; denuncia; auditoría por pedido_uid,BE+FE,8,F1.1,Could,E5-09
E7-08,E7 Privacidad,Inventario de datos por formulario y consentimiento por finalidad en todos los formularios,Anexo A del 09 implementado; checkbox no premarcado; versión de texto registrada; PR con campo personal nuevo exige justificación (DoD),BE+FE,3,S2,Must,E2-03
E7-09,E7 Privacidad,Política de cookies y aviso informativo,Solo cookies necesarias; texto publicado; aviso no bloqueante; gestor de consentimiento preparado si se añaden terceros,FE,2,S5,Must,E7-01
E7-10,E7 Privacidad,Analítica autoalojada sin cookies (Umami o Plausible) con embudo de checkout,"Eventos: vistas, pasos del checkout, abandono, búsquedas sin resultado, fuera de zona; sin IP en claro; ADR-012",BE+FE,3,S5,Must,E2-08
E7-11,E7 Accesibilidad,"Accesibilidad verificable: axe en componentes, Lighthouse ≥ 95, contraste automático de tokens, auditoría manual por sprint, E2E de checkout solo con teclado, declaración de accesibilidad","Anexos B y C del 09 aplicados; build falla si un token baja de 4,5:1",FE,5,S1,Must,E0-10
E7-12,E7 Terceros,Inventario de integraciones de terceros (anexo D) completado y mantenido,"Cada tercero con datos, contrato, costo, límite, reemplazo; regla: sin script externo en tienda salvo mapa",BE+Dueño,1,S0,Must,E0-09
E7-13,E7 Operación,Sentry en backend y las tres apps con release tracking y filtro de PII; monitor de disponibilidad externo con alerta,Error de prueba llega por correo antes de 5 min; trace_id compartido; UptimeRobot configurado,BE+FE,3,S0,Must,E0-02
E7-14,E7 Operación,Alertas y límites de gasto en cada servicio,Presupuesto por servicio; alertas 50 % y 80 %; límites duros donde existan; revisión en cada retro,Dueño+BE,1,S0,Must,E7-12
E7-15,E7 Seguridad,"Rate limits por endpoint según anexo E, con 429 Problem Details y Retry-After; capa Nginx",Pruebas de integración por límite; Nginx limit_req configurado,BE,3,S2,Must,E2-04
E7-16,E7 Calidad,Estrategia de pruebas fijada con umbrales de cobertura y E2E ampliados,"Cobertura dominio ≥ 90 %, aplicación ≥ 80 % en CI; Playwright con 8 recorridos incl. teclado y reclamaciones",BE+FE,3,S5,Must,E5-06
E7-17,E7 Gestión,"Linear configurado (team, proyectos por épica, cycles, etiquetas), backlog importado, integración GitHub y conector con Claude",Issues creados desde el CSV; PR enlaza issue por clave; Claude puede leer y crear issues,Dueño+Devs,2,S0,Must,
